Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,description,agt_type,stage_label,stage - sort,stage_short,agt_dat,PAX_Hyperlink,PAX_Generate_PDF,PDF_Hyperlink,year
Nepal,Government,81,Nepal peace process,Asia and Pacific,88,1,Agreement on the Monitoring of Arms and Armies,2006-12-08,Multiparty signed/agreed,12.0,32774,Intra,Imp,ImpMod,"Krishna Bahadur Mahara, Coordinator, Negotiating team, CPN (Maoist)
Krishna Prasad Sitoula, Coordinator, Negotiating team, Government of Nepal","'Witnessed by' Ian Martin, Personal Representative of the Secetary-General, United Nations","Page 1, preamble: ...In keeping with the letters to the United Nations (UN) Secretary-General of 9 August and the Comprehensive Peace Accord of 21 November 2006;...

...Declaring the beginning of a new chapter of peaceful democratic interaction by ending the armed conflict taking place in the country since 1996, based on the Comprehensive Peace Accord between the two parties in order to accomplish, through the constituent assembly, certainty of sovereignty of the Nepali people, progressive political outlet, democratic restructuring of the state, and social­ economic-cultural transformation; and,...

Page 4, 4 Maoist Army cantonment, barracking of the NA and arms control, 4.1 Maoist army cantonment: Maoist army cantonment In accordance with the commitment expressed in the letter sent to the United Nations...

Page 4, 4 Maoist Army cantonment, barracking of the NA and arms control, 4.1.1	Commanders'  responsibilities: ...(4) Maintenance of discipline, morale and normal training in the spirit of the Comprehensive Peace Accord, excluding live fire exercises;


Page 7, 4 Maoist Army cantonment, barracking of the NA and arms control, 4.2.4 Deployment and Concentration of Forces - NA permitted activities:...In accordance with the spirit of the Comprehensive Peace Accord, continuity will be given to functions of the Nepal Army including border security, security of the conservation areas, protected areas, banks, airports, power houses, telephone towers, central secretariat and security of VIPs...	

Page 8, 5 Compliance with the Agreement, 5.1 Prohibited Activities: In the spirit of the Comprehensive Peace Accord, and in light of this agreement, after the placement of the Nepal Army in the barracks and the Maoist Army combatants in cantonment, the parties shall scrupulously refrain from the following activities:

Page 11, 7 Miscellaneous:...The spirit of the Comprehensive Peace Accord shall guide the interpretation and implementation of this agreement by all the parties.",NPL,,269.0,,,931,No,"The Agreement outlines the modalities for how the United Nations will monitor the management of arms and armies in Nepal.  Topics covered include monitoring the deployment and cantonment of forces, the storage and control of weapons, and a joint monitoring coordination committee chaired by the UN.",Intrastate,Implementation,5,Implementation,Agreement on the Monitoring of Arms and Armies (08/12/2006),https://pax.peaceagreements.org/agreements/88/,https://pax.peaceagreements.org/agreements/coding88/,https://pax.peaceagreements.org/media/documents/ag88_55f057df22761.pdf,2006
Angola/Burundi/Central African Republic/Democratic Republic of Congo/Kenya/Republic of Congo/Rwanda/Sudan/Tanzania/Uganda/Zambia/(African Great Lakes),Government,6,African Great Lakes: Regional Process,Africa (excl MENA),668,1,"Pact on Security, Stability, and Development in the Great Lakes Region",2006-12-15,Multiparty signed/agreed,25.0,30868,InterIntra,Imp,ImpMod,"H.E. JOSE EDUARDO DOS SANTO, President of the Republic of Angola; H.E. FRANCOIS BOZIZE, President of the Central African Republic; H.E. JOSEPH KABILA, President of the Democratic Republic of Congo; H.E. PAUL KAGAME, President of the Republic of Rwanda; H.E. JAKAYA MRISHO KIKWETE, President of the United Republic of Tanzania; H.E. LEVY MWANAWASA President of the Republic of Zambia; H.E. PIERRE NKURUNZIZA,  President of the Republic of Burundi; H.E. DENIS SASSOU-NGUESSO, President of the Republic of Congo; H.E. MWAI KIBAKI, President of the Republic of Kenya; H.E. OMER HASSAN AHMED EL-BASHIR, President of the Republic of the Sudan; H.E. YOWERI KAGUTA MUSEVENI, President of the Republic of Uganda",,"Page 4, Preamble
... Determined to adopt and implement collectively the appropriate Programmes of Action, the Protocols and mechanisms to translate into reality the priority political options and the guiding principles of the Dar-es-Salaam Declaration;",,,283.0,,,905,No,"The pact aims at providing a legal framework governing relations between its signatories, through additional protocols and programmes of action in the following areas : non-aggression and mutual defense, democracy and good governance, judicial cooperation, pevention and punishment of the crimes of genocide, war crimes and crimes against humanity and all forms of discrimination, struggle against the illegal exploitation of natural resources, specific reconstruction and development zone, prevention and suppression of sexual violence against women and children, protection and assistance to internally displaced persons, property rights and returning persons, management of information and communication. It also establishes follow-up mechanisms comprising the Summit, a Regional Inter-Ministerial Committee and a conference secretariat.",Interstate/mixed,Implementation,5,Implementation,"Pact on Security, Stability, and Development in the Great Lakes Region (15/12/2006)",https://pax.peaceagreements.org/agreements/668/,https://pax.peaceagreements.org/agreements/coding668/,https://pax.peaceagreements.org/media/documents/ag668_5720e1da07c2b.pdf,2006
Uganda,Government,120,Uganda peace process,Africa (excl MENA),889,1,Cessation of Hostilities Agreement between the Government of the Republic of Uganda and the LRA/M (Addendum 2),2006-12-16,Multiparty signed/agreed,3.0,2889,Intra,Cea,Rel,"Hon. Ruhakana Rugunda (Dr) Minister of Internal Affairs and Head of GoU Delegation

Mr. Martin Ojul Leader of the LRA/M Delegation","Witnessed by:
H.E. Lt. General Riek Machar Teny-Dhurgon (PhD), Vice President, Government of Southern Sudan and Mediator of the Peace Talks.",Cessation of Hostilities Agreement (26/08/2006),UGA,,314.0,,,905,No,"Addendum 2 to the Cessation of Hostilities Agreement (26/08/2006) reviews the Agreement and Addendum 1 provisions concerning Assembling. Further, Parties agree to review the status of Monitoring as said in Addendum 1 and the implementation of the Agreement.",Intrastate,Ceasefire,2,Ceasefire,Cessation of Hostilities Agreement between the Government of the Republic of Uganda and the LRA/M (Addendum 2) (16/12/2006),https://pax.peaceagreements.org/agreements/889/,https://pax.peaceagreements.org/agreements/coding889/,https://pax.peaceagreements.org/media/documents/ag889_5630efdebce65.pdf,2006
Somalia,Inter-group,103,Somali Local Peace Processes,Africa (excl MENA),1857,1,Idale Peace Agreement between the Hubeer and Yantaar,2006-12-31,Multiparty signed/agreed,2.0,1837,IntraLocal,Pre,Proc,"Hubeer sub-clan:
    Ugaas Xasan Shure Maxamuud

    Malaaq Aadan Salaad Nuur

    Malaaq Miiris Xuseen Xasan

    Malaaq Iftiin Cali Kuusanow

    Xubin Madey Cabdi Jiirow

    Xubin Sharma’arke Cabdi C/raxmaan

    Xubin Shi Ibraahim Jibriil Caliyoow

    Xubin Deerow Aadan Mursal

    Xubin Madeey Xasan Cali Kuus

    Xubin Kalar Maaney Cabdulle

    Xubin Buukaay Cali Aaan

    Xubin Armiye Sh C/qaadir

    Xubin Sh Xuseen Sh Ibraahim

    Xubin Cali Yorow Dhaahir 


Yantaar sub-clan:

    Malaaq [unintelligible] Maxamed Wardheere

    Malaaq Madeey Cabdi Nuur

    Malaaq Xasan Macalin

    Malaaq C/rashiid Sh/Cabdi

    Malaaq C/rashiid Sh/Maxamed

    Malaaq Xuseen Aftiimo Buulle

    [unintelligible] Arbow C/raxmaan

    Axmed Ibraahin Cali

    Mursal Maxamed Kulan

    Macalin C/laahi Qalimow

    [unintelligible] Cali Yuusuf

    Sheekh Cusmaan Jawaareey

    Ibraahim Mursal Cali

    Shekh Xasan Cumar

    Xaji Maxamed Cabdow",,,SOM,,337.0,,,,No,This 'agreement' involves two sets of signatures of elders 'pre-endorsing an agreement to be facilited by a national arbitration committee - so endorsing this as the process by which the local conflict would be resolved.  The agreement was later reached.,Local,Pre-negotiation,1,Pre-negotiation,Idale Peace Agreement between the Hubeer and Yantaar (31/12/2006),https://pax.peaceagreements.org/agreements/1857/,https://pax.peaceagreements.org/agreements/coding1857/,https://pax.peaceagreements.org/media/documents/ag1857_595e43446e9aa.pdf,2006
Nepal,Government,81,Nepal peace process,Asia and Pacific,1322,1,Nepal Interim Constitution,2007-01-15,Multiparty signed/agreed,174.0,250750,Intra,SubComp,FrCons,"Krishna Bahadur Mahara, Coordinator, Negotiating team, CPN (Maoist)
Krishna Prasad Sitoula, Coordinator, Negotiating team, Government of Nepal","Witnessed by Ian Martin, Personal Representative of the Secretary-General United Nations","Page 23, Part 4 Obligations, Directive Principles and Policies of the State, 35. Policies of the State:...(21)	The State shall pursue the foreign policy of Nepal based on the principles of the Charter of the United Nations, non-alignment, the principles of Panchsheel, international law and the norms of world peace.

Page 109, Part 20 Provisions relating to army, 147. Management and monitoring: Other provisions on the management and monitoring  of  the  arms  and  armies  shall  be  as  mentioned   in  the Comprehensive Peace Accord and the Agreement on Monitoring of the Management of Arms and Armies concluded between the Government of Nepal and CPN (Maoist) on 5 Mangsir 2063 (21 November 2006) and 22 Mangsir 2063 (8 December 2006), respectively.

Page 123, Part 25 Short Title, Commencement and Repeal, 166. Short title and commencement: (3)	The Comprehensive Peace Accord and the Agreement on Monitoring of the Management of Arms and Armies concluded between the Government of Nepal and CPN (Maoist) on 5 Mangsir 2063 (21 November 2006) and 22 Mangsir 2063 (8 December 2006), respectively, are in Schedule-4.

Page 129, Schedule-3 (Relating to clause (2) of Article 166): After the commencement of the management and monitoring of arms pursuant to the Comprehensive Peace Accord and the agreement on Monitoring of the Management of Arms and Armies concluded between the Government of Nepal and CPN (Maoists) on 5 Mangsir 2063 (21 November 2006) and 22 Mangsir 2063 (8 December 2006), respectively, this Constitution shall be promulgated by the House of Representatives and ratified by the Interim Legislature-Parliament",NPL,,269.0,,,931,No,"Interim Constitution agreed by both parties on 15 January 2007 and subsequently amended on 14 March 2007 (first amendment); 13 June 2007 (second amendment); 28 December 2007 (third amendment); 29 May 2008 (fourth amendment); 13 July 2008 (fifth amendment); 15 December 2008 (sixth amendment); 31 January 2010 (seventh amendment); 28 May 2010 (eighth amendment). The constitution covers a range of issues including human rights; the nature of the state; the establishment of political offices, institutions and state procedures; and the regulation of the national army.",Intrastate,"Framework-substantive, comprehensive",4,Substantive Comprehensive,Nepal Interim Constitution (15/01/2007),https://pax.peaceagreements.org/agreements/1322/,https://pax.peaceagreements.org/agreements/coding1322/,https://pax.peaceagreements.org/media/documents/ag1322_55f82a77ab997.pdf,2007
Somalia,Inter-group,103,Somali Local Peace Processes,Africa (excl MENA),1858,1,Final Agreement from the National Reconciliation Commission-led Initiative,2007-01-15,Multiparty signed/agreed,7.0,11484,IntraLocal,SubComp,FrAg,"Hubeer & Yantaar clan (sub-clans of the Mirifle clan):

Names of Yantaar Delegates 
1. Malaq Caliyaw Mahamed Wardhere 2. Malaq Maadey Cabdi Nur
3. Malaq Dadir Macalin
4. Malaq Cabdi Rashid Sh/ Cabdi
5. Malaq Cabdi Rashid Sh/ Mahamed 6. Malaq Husein Aftimo Bulle
7. Oday Arabaw Abdrihman
8. Ahmed Ibrahim Ali
9. Mursal Mohamed Kulan
10. Moalim Abdulahi Qalimow 11. Hashi Cali Yusuf
12. Sheikh Osman Jawarey
13. Ibradim Ali Mursal
14. Sheikh Xasan Omar
15. Haji Mohamed Abdi
Names of Hubeer Delegates 
1. Ugaas Hassan Shure Mahamud 2. Malaq Aadan Salad Nur
3. Malaq Miris Husein Hassan
4. Malaq Iftin Ali Kusanow
5. Member Madey Abdi Jirow
6. Member Sharma’arke Abdi Abdirahman 7. Sh.Ibrahim Jibril Aliyow
8. Derow Aadan Mursal
9. Madey Hassan Ali Kus
10. Kalar Maney Abdulle
11. Bukay Ali Aan
12. Armiye Sheikh Abdulkdir
13. Ma’alin Musalim M. Nur
14. Sh. Husein Sh. Ibrahim
15. Ali Yarow Dahir","Abdulahi Osman Du’ale, Vice chairman of Idale and chairman of the National Reconciliation Commission;
Minister National Reconciliations Subject;
Minister of National security;
Prime Minister of TFG;
The head of Somalia police force;
The head of Bay police forces;
The chairman of Bay region


Burhakabe District 
1. Sheikh Mohamed Nur Sheikh Hussein
2. Haji Malaq Aadan Abdirahman
3. Malaq Aamin Abdiyow Hussein
4. Malaq Haji Mohamed Malin Ali
5. Malaaq Yare Ali Osman
6. Malaq Abdi Salan Sheikh Ibrahim
7. Malaaq Osman Yarow Bulle
8. Malaaq Sidow Aadan Moalin
9. Malaaq Hilowle Hussien Ali Yarow
10. Mohamed Ali Gaab (the chairperson of security)
11. Abdi Rashid Hassan Ali (the vice person of station)
12. Mugwaal Nur Moalin (the chairperson of youth center)
13. Sharif Sheikh Yerow Sheikh Abdulatif
14. Haji Abdulahi Moalin Shati
15. Abdulahi Sidow Sheikh Yerow

Berdale District 
1. Sheikh Bayadir Sheikh Abdirahman Bababey 
2. Sheikh Aamin Abdi Aadan 
3. Malaaq Hussein Abdi Ali 
4. Hussein Hassan Moalin
5. Mohamed Mursal Aadan

Ufrow District 
1. Sheikh Haji Abduladif Sheikh Ibrahim 
2. Ugaas Hussein Mursal Ma’an
3. Haji Aadan Iiman Arab
4. Yusuf Moalin Abdow
5. Nurow Warsame Dheer
6. Abdow Qoore Warbuuk
7. Ugaas Isaaq Ibrahim Hassan

Durey- Eemid District 
1. Ali Sheikh Mohamed Nur Sheikh 
2. Hassan Mohamed Robow
3. Ibrahim Muqtar Ali

Qansaxadhere District 
1. Aliyow Sagaar Mohamed 
2. Mohamed Uudey Aadan 
3. Mad Isaaq Uburow
4. Cah Jerbey Hassan",,SOM,,337.0,,,,No,Peace agreement regarding the ownership of Idale village. Agreement preamble has extensive description of conflict resolution project.,Local,"Framework-substantive, comprehensive",4,Substantive Comprehensive,Final Agreement from the National Reconciliation Commission-led Initiative (15/01/2007),https://pax.peaceagreements.org/agreements/1858/,https://pax.peaceagreements.org/agreements/coding1858/,https://pax.peaceagreements.org/media/documents/ag1858_595e44f9087fe.pdf,2007
Central African Republic,Government,14,CAR: coups and rebellions process,Africa (excl MENA),676,1,Accord de Paix entre le Gouvernement de la République Centrafricaine et les Mouvements Politico-Militaires ci-après designés: FDPC et UFDR (Syrte Agreement),2007-02-02,Multiparty signed/agreed,6.0,4924,Intra,Cea,Rel,"Pour le Gouvernement de la République Centrafricain, S.E Paul OTTO, Ministre de la Justice, Garde des Sceaux 
Pour Le Front Démocratique du Peuple Centrafricain, Abdoulaye MISKINE, Président du FDPC 
Pour L'Union des Forces Démocratiques pour le Rassemblement: (signature unclear)","EN PRESENCE DE:
Pour La République du Tchad, Tchonai Elimi Hasson
Pour La Grande Jamahiriya Arabe-Libyenne, Populaire et Socialiste, A.M. Shalgam



mediated by the communauté d'Etat Cen-Sad (Khadafi representing them)","Page 1, UNTITLED PREAMBLE
In view of the Constitution of 14 January 1995, 
…
Aware of the fact that the meeting on consensus-building and dialogue held in Bangui from 11 to 18 January 1997 rekindled the hopes of Central Africans that solutions to this crisis would be found, 
Convinced of the commitment of the signatories to respect the conclusions of the Bangui Agreements and to strive to restore a genuine, lasting peace,",CAF,,416.0,1358,,,No,"This agreement is identical in wording to the previous Birao Agreement, minus the last two articles (only one of which is substantive, relating to the ability of both partners to withdraw from the ageement in the event of its flagrant violation by the other, Article 9).  The agreement was necessary due to the bombing of the UNFDR headquarters by French Mirage jets after the Birao Agreement, which accordingly could be argued to have cancelled the Birao agreement.  It therefore covers the immediate cessation of hostilities including hostile media campaigns; DDR; the conditions for the return of displaced people; the release of political prisoners; the participation of the groups in the management of the state; the establishment of an implementation commission; and mechanisms for dealing with differences in interpretation and failure to comly with the agreement.",Intrastate,Ceasefire,2,Ceasefire,Accord de Paix entre le Gouvernement de la République Centrafricaine et les Mouvements Politico-Militaires ci-après designés: FDPC et UFDR (Syrte Agreement) (02/02/2007),https://pax.peaceagreements.org/agreements/676/,https://pax.peaceagreements.org/agreements/coding676/,https://pax.peaceagreements.org/media/documents/ag676_57fdfa135969a.pdf,2007
(Palestine),Inter-group,33,"Palestine, Intra-Palestian agreements",Middle East and North Africa,1407,1,The Mecca Agreement,2007-02-08,Multiparty signed/agreed,1.0,2296,Intra,Pre,PreMix,Fatah and Hamas,King Abdullah Bin Abdul Aziz,Cairo and Damascus Understandings,ISR,,234.0,,,,No,Short agreement mediated by Saudi Arabia between Fatah and Hamas in an attempt to unify the parties under the leadership of the PLO and further the Palestinian cause.,Intrastate,Pre-negotiation,1,Pre-negotiation,The Mecca Agreement (08/02/2007),https://pax.peaceagreements.org/agreements/1407/,https://pax.peaceagreements.org/agreements/coding1407/,https://pax.peaceagreements.org/media/documents/ag1407_566a9b6ac030b.pdf,2007
Central African Republic/Chad/Sudan/(Darfur),Territory,21,Darfur-Sudan peace process,Africa (excl MENA),133,1,Cannes Declaration on the Regional Dimension of the Darfur Crisis,2007-02-15,Multiparty signed/agreed,2.0,3148,InterIntra,Pre,Proc,"[Uploaded document is not signed, but indicates Parties and Third Parties] Mr Omar Hassan Ahmad al-Bashir, President of the Republic of Sudan; Mr Idriss Déby, President of the Republic of Chad; Mr François Bozizé, President of the Central African Republic","[Uploaded document is not signed, but indicates Parties and Third Parties] At the initiative of Mr Jacques Chirac, President of the French Republic; Mr John Agyekum Kufuor, President of the Republic of Ghana, Chairman of the African Union; and in the presence of: Mr Mohamed Hosni Mubarak, President of the Arab Republic of Egypt; Mr El Hadj Omar Bongo, President of the Republic of Gabon; Mr Denis Sassou-Nguesso, President of the Republic of Congo.","Page 1, Untitled Preamble
Referring to the relevant provisions of the Darfur Peace Agreement (Abuja, May 2006), the agreement to settle the dispute between the Republic of Chad and the Republic of Sudan (Tripoli, 8 February 2006), the minutes of the meeting between the authorities of Chad and Sudan (N'Djamena, 25 July 2006), the high-level conclusions between the African Union, the United Nations Organization and the Government of Sudan (Addis Ababa, 16 November 2006), the communiqué of the 66th meeting of the Peace and Security Council of the African Union (30 November 2006), the statements by the President of the United Nations Security Council (53rd of 15 December 2006 and 55th of 19 December 2006), the letters from the Secretary-General of the United Nations to the President of Sudan (18 December 2006 and 24 January 2007), and the written response  from the President of Sudan to the Secretary-General of the United Nations (23 December 2006), [...]",SDN,,309.0,,,927,No,"A declaration by the Parties, providing a commitment to respect the sovereignty of each country, establishing consultative bodies for the three countries, and supporting continued engagement of the UN and AU.",Interstate/mixed,Pre-negotiation,1,Pre-negotiation,Cannes Declaration on the Regional Dimension of the Darfur Crisis (15/02/2007),https://pax.peaceagreements.org/agreements/133/,https://pax.peaceagreements.org/agreements/coding133/,https://pax.peaceagreements.org/media/documents/ag133_56250d9eed162.pdf,2007
Somalia,Inter-group,103,Somali Local Peace Processes,Africa (excl MENA),1859,1,Peace Agreement between the Sa’ad and Saleman sub-clans,2007-02-18,Multiparty signed/agreed,1.0,1379,IntraLocal,SubComp,FrAg,Sa’ad and Saleman sub-clans,,,SOM,,337.0,,,,No,"Short peace agreement between the Sa'ad and Saleman sub-clans in Adado that restores land-holdings back to original owners, agree to use shariah as the basis for criminal justice, and establish a joint elders' council, a joint local police committee and a joint local judiciary committee authorized to extend this agreement in all the respective areas.",Local,"Framework-substantive, comprehensive",4,Substantive Comprehensive,Peace Agreement between the Sa’ad and Saleman sub-clans (18/02/2007),https://pax.peaceagreements.org/agreements/1859/,https://pax.peaceagreements.org/agreements/coding1859/,https://pax.peaceagreements.org/media/documents/ag1859_595e457d8cbfb.pdf,2007
Chad/Sudan,Territory,134,Chad-Sudan Agreements,Africa (excl MENA),1071,1,Statement of the Four-party Peace Summit,2007-02-21,Multiparty signed/agreed,1.0,1982,InterIntra,Imp,ExtPar,"[Uploaded document unsigned, but Statement indicates and differentiates Parties and Third Parties] His Excellency Mr. Omer Hassan Al-Bashir, President of the Republic of the Sudan; His Excellency President Idriss Deby Itno, President of the Republic of Chad;","[Uploaded document unsigned, but Statement indicates and differentiates Parties and Third Parties] 'On the joint initiative of Brother and Leader Muammar Al-Qadhafi, Chairman of the Community of Sahel-Saharan States (CEN-SAD) and high sponsor of the peace process within the Community'; the President Isaias Afwerki of the State of Eritrea; 'Also participating in the summit, [...] two members of the Council of Heads of State and Brother, Mohamed Al-Madani Al-Azhari, Secretary-General of Cen-Sad.'","Page 1, Following extensive, open consultations and discussions, the summit reached
the following conclusions:
1. Chad and the Sudan reaffirm their full commitment to the Tripoli agreement
signed on 8 February 2006 and pledge to implement it fully;",TCD,SDN,,,,,No,"A statement informing on the Four-Party Peace Summit held between the Community of Sahel-Saharan States (CEN-SAD), the State of Eritrea, the Republic of Chad, and the Republic of the Sudan, for the purpose of dealing with the dispute between the Chad and Sudan. The Parties reaffirm their commitment to the Tripoli Agreement (08/02/2006), to respect the sovereignty of each state, and to establish a joint committee, which will be chaired by the State of Eritrea.",Interstate/mixed,Implementation,5,Implementation,Statement of the Four-party Peace Summit (21/02/2007),https://pax.peaceagreements.org/agreements/1071/,https://pax.peaceagreements.org/agreements/coding1071/,https://pax.peaceagreements.org/media/documents/ag1071_57b30593d8dac.pdf,2007
India/Pakistan,Territory,53,India-Pakistan border and related process,Asia and Pacific,1524,1,Agreement between the Republic of India and the Islamic Republic of Pakistan on Reducing the Risk from Accidents Relating to Nuclear Weapons,2007-02-21,Multiparty signed/agreed,5.0,4298,Inter,SubPar,Iss,"K.C. Singh, Additional Secretary (IO), Government of the Republic of India; Tariq Osman Hyder, Additional Secretary (UN & EC), Government of the Islamic Republic of Pakistan",,,IND,PAK,218.0,,,223,No,Short agreement wherein both sides agree to keep communication open via the two foreign secretaries in regards to nuclear accidents to reduce the risk of nuclear fallout.,Interstate,"Framework-substantive, partial",3,Substantive Partial,Agreement between the Republic of India and the Islamic Republic of Pakistan on Reducing the Risk from Accidents Relating to Nuclear Weapons (21/02/2007),https://pax.peaceagreements.org/agreements/1524/,https://pax.peaceagreements.org/agreements/coding1524/,https://pax.peaceagreements.org/media/documents/ag1524_56ec13737ffc3.pdf,2007
Cote d'Ivoire,Government,5,Cote D'Ivoire: peace process,Africa (excl MENA),119,1,Ouagadougou Political Agreement,2007-03-04,Multiparty signed/agreed,10.0,24559,Intra,SubPar,MultIss,"Laurent Gbagbo President of the Republic of Cote d’Ivoire
Guillaume Kigbafori Soro Secretary-General of Forces Nouvelles of the Republic of Cote d’Ivoire","facilitator and signatory: Blaise Compaoré: President of
Burkina Faso / Chairman of the Economic Community of West African States","Page 1, PREAMBLE
…
President Blaise Compaoré, after consulting with the Secretary-General of Forces nouvelles, Mr. Guillaume Soro, with the various political stakeholders in Côte d’Ivoire and with the Prime Minister, Mr. Charles Konan Banny, acceded to the request and recommended that the direct talks should be held within the framework of resolution 1721 (2006), adopted by the United Nations Security Council on 1 November 2006. 
…
After identifying the problems encountered in the implementation of the Linas Marcoussis, Accra and Pretoria Agreements and the United Nations resolutions on Côte d’Ivoire and before taking any decisions, the Parties reaffirmed the following: 
…
–	Their commitment to the Linas-Marcoussis, Accra and Pretoria Agreements;  
–	Their commitment to all United Nations resolutions on Cote d’Ivoire, particularly resolutions 1633 (2005) and 1721 (2006) of the Security Council

Page 6, 3.2 NATIONAL DISARMAMENT, DEMOBILISATION AND REINTEGRATION PROGRAMME
3.2.1 The Parties to this Agreement undertake to disarm their respective forces as soon as possible, in accordance with the recommendations of the Linas-Marcoussis Agreement and the modalities laid down in the following military agreements: 
- The Joint Plan for DDR Operations (PCO) signed on 9 January 2004 and updated at the seminar on disarmament held from 2 to 6 May 2005 in Yamoussoukro under the auspices of the South African mediation; 
- The National DDR Programme and its accompanying timetable adopted on 9 July 2005 in Yamassoukro; 
- The conclusions of the working meeting held in Yamoussoukro on Saturday 14 May 2005 between the Chiefs of Staff of FANCI and FAFN. 

Page 7, 6.2 ZONE OF CONFIDENCE
6.2.1 In order to allow the free movement of people and goods, the two Parties to the direct dialogue agree to request the impartial forces of Licorne and UNOCI to dismantle the zone of confidence, in accordance with paragraph A.4 of the document on “Management of the zone of confidence”, referred to as Code 14.  

Page 8, 6.3 AMNESTY LAW
In order to promote forgiveness and national reconciliation and to restore social cohesion and solidarity among Ivorians, the two Parties to the direct dialogue agree to extend the scope of the amnesty law passed in 2003. To this end, they have decided to adopt, by ordinance, a new amnesty law covering crimes and offences related to national security and arising from the conflict that shook Côte d’Ivoire and which were committed between 17 September 2000 and the date of entry into force of the present Agreement, with the exception of economic crimes, war crimes and crimes against humanity.",CIV,,419.0,1359,11.0,925,No,"Agreement deals at length with provision for general identification of the population as Ivorian or foreign, providing for mobile courts to determine and issuance of substitute birth certs, with a view to compiling definitive electoral roll for free and fair elections. Parties agree to merge forces to create united army, and establish Integrated Command Centre to that end. Parties agree to disarm their respective forces as soon as possible.",Intrastate,"Framework-substantive, partial",3,Substantive Partial,Ouagadougou Political Agreement (04/03/2007),https://pax.peaceagreements.org/agreements/119/,https://pax.peaceagreements.org/agreements/coding119/,https://pax.peaceagreements.org/media/documents/ag119_57ed16e8cbe61.pdf,2007
Ethiopia/Somalia/(Ogaden)/(Puntland),Inter-group,103,Somali Local Peace Processes,Africa (excl MENA),1856,1,Adadda Peace Agreement,2007-03-10,Multiparty signed/agreed,1.0,1537,IntraLocal,SubComp,FrAg,"Bah Ararsame;
Omar Mohamoud",,,SOM,ETH,337.0,,,,No,Local agreement between Bah Ararsame and Omar Mohamoud that provides for compensation for deaths and the destructions of water catchments.,Local,"Framework-substantive, comprehensive",4,Substantive Comprehensive,Adadda Peace Agreement (10/03/2007),https://pax.peaceagreements.org/agreements/1856/,https://pax.peaceagreements.org/agreements/coding1856/,https://pax.peaceagreements.org/media/documents/ag1856_595e3fffb5cbd.pdf,2007
Philippines/(Mindanao),Government/territory,90,Philippines - Mindanao process,Asia and Pacific,1972,2,Joint Communique between United Nations Children's Fund (UNICEF) and Moro Islamic Liberation Front (MILF),2007-03-12,Multiparty signed/agreed,2.0,3481,Intra,Imp,ExtSub,"For UNICEF

Dr. Nicholas K. Alipui

Representative, UNICEF Philippines



For MILF

Chairman Al Haj Murad Ebrahim

Chairman, MILF",IMT,,PHL,,308.0,,,916,No,"In the Joint Communique, UNICEF and MILF agree on the importance of rights of women and children and agree to deliver basic services (immunisation, birth registration, micronutrient supplementation, etc.) in an event called Days of Peace, with MILF tasked with providing security.",Intrastate,Implementation,5,Implementation,Joint Communique between United Nations Children's Fund (UNICEF) and Moro Islamic Liberation Front (MILF) (12/03/2007),https://pax.peaceagreements.org/agreements/1972/,https://pax.peaceagreements.org/agreements/coding1972/,https://pax.peaceagreements.org/media/documents/ag1972_5b40fd7e61f45.pdf,2007
Cote d'Ivoire,Government,5,Cote D'Ivoire: peace process,Africa (excl MENA),1261,1,Premier accord complémentaire à l’accord politique de Ouagadougou,2007-03-27,Multiparty signed/agreed,1.0,1125,Intra,Imp,ExtSub,"No names or signatures only 'En application du chapitre 5 de l'Accord politique de Ouagadougou du 04 mars 2007, les parties signataires décident...' An assumption can be made the agreement was agreed by the same signatory parties as for the Ouagadougou Agreement it complements.",,"In application of Chapter 5 of the Ouagadougou Political Agreement of March 4, 2007, the signatory parties agree to appoint a new Prime Minister in the person of Mr Guillaume Kigbafori SORO, General Secretary of the New Forces. He will be appointed to the functions of Prime Minister of the Republic of Côte d’Ivoire by decree of the President of the Republic.",CIV,,419.0,1360,,925,No,"The agreement is on the concerted designation of a new prime minister (M. Guillaume Digbafori SORO, general secretary of the new forces) from the Forces Nouvelles, and asks the facilitator in his function as president of the CEDEOA to inform the UNSC through the AU about the designation. The new prime minister will be in office until the next election and cannot stand after that point.",Intrastate,Implementation,5,Implementation,Premier accord complémentaire à l’accord politique de Ouagadougou (27/03/2007),https://pax.peaceagreements.org/agreements/1261/,https://pax.peaceagreements.org/agreements/coding1261/,https://pax.peaceagreements.org/media/documents/ag1261_57ea72804f9ae.pdf,2007
